待ち牌のロス数,手牌,ロスの内訳
6,2345555789,8s3枚 9s3枚
6,2345556667,2s3枚 3s3枚
6,2345556678,2s3枚 3s3枚
6,2345556789,2s3枚 3s3枚
6,2345566777,2s3枚 3s3枚
6,2345666677,2s3枚 3s3枚
6,2345666778,2s3枚 3s3枚
6,2345666789,8s3枚 9s3枚
6,2345667778,2s3枚 3s3枚
6,2345667789,2s3枚 3s3枚
6,2345677789,2s3枚 3s3枚
6,2345677888,2s3枚 3s3枚
6,2345677999,2s3枚 3s3枚
6,2345777789,8s3枚 9s3枚
6,2346666789,2s3枚 3s3枚
6,2346667788,2s3枚 3s3枚
6,2346677778,2s3枚 3s3枚
6,2346677889,2s3枚 3s3枚
6,2346678888,2s3枚 3s3枚
6,2346678999,2s3枚 3s3枚
6,2346777789,2s3枚 3s3枚
6,2346777888,2s3枚 3s3枚
6,2346778899,2s3枚 3s3枚
6,2346788889,2s3枚 3s3枚
6,2346789999,2s3枚 3s3枚
6,3334445557,1s4枚 3s1枚 4s1枚
6,3334455678,7s3枚 8s3枚
6,3344445678,7s3枚 8s3枚
6,3344555677,1s4枚 3s2枚
6,3344556667,1s4枚 4s2枚
6,3345555678,7s3枚 8s3枚
6,3345556677,7s2枚 9s4枚
6,3345666678,7s3枚 8s3枚
6,3345678999,7s3枚 8s3枚
6,3345777789,8s3枚 9s3枚
6,3345777888,7s1枚 8s1枚 9s4枚
6,3345777999,7s1枚 8s4枚 9s1枚
6,3345778899,7s2枚 8s2枚 9s2枚
6,3345788889,7s3枚 9s3枚
6,3345789999,7s3枚 8s3枚
6,3345888999,7s4枚 8s1枚 9s1枚
6,3444555678,7s3枚 8s3枚
6,3444556677,6s2枚 9s4枚
6,3445566788,1s4枚 4s2枚
6,3455888999,1s4枚 8s1枚 9s1枚
6,3555666777,6s1枚 7s1枚 9s4枚
6,3556667778,6s1枚 7s1枚 9s4枚
6,3556677789,6s2枚 7s1枚 9s3枚
6,3566677788,6s1枚 7s1枚 9s4枚
6,3566777889,6s2枚 7s1枚 9s3枚
6,3567778899,6s3枚 7s1枚 9s2枚
6,4456667788,1s4枚 8s2枚
6,4456677889,1s4枚 8s2枚
6,4456888999,1s4枚 8s1枚 9s1枚
6,4555667788,1s4枚 7s2枚
6,4666777888,1s4枚 7s1枚 8s1枚
6,4667778889,1s4枚 7s1枚 8s1枚
6,4677788899,1s4枚 7s1枚 8s1枚
7,1111222236,3s3枚 9s4枚
7,1111222237,3s3枚 4s4枚
7,1111223347,2s2枚 3s2枚 4s3枚
7,1111233336,2s3枚 9s4枚
7,1111233337,2s3枚 4s4枚
7,1111234447,2s3枚 3s3枚 4s1枚
7,1111234566,2s3枚 9s4枚
7,1111235567,2s3枚 9s4枚
7,1111236999,2s3枚 3s3枚 9s1枚
7,1112222346,3s3枚 9s4枚
7,1112222347,1s1枚 3s3枚 4s3枚
7,1112223336,1s1枚 2s1枚 3s1枚 9s4枚
7,1112223337,1s1枚 2s1枚 3s1枚 4s4枚
7,1112223457,1s1枚 3s3枚 4s3枚
7,1112224447,1s1枚 2s1枚 3s4枚 4s1枚
7,1112224678,1s1枚 7s3枚 8s3枚
7,1112225888,1s1枚 2s1枚 8s1枚 9s4枚
7,1112225999,1s1枚 2s1枚 8s4枚 9s1枚
7,1112226999,1s1枚 2s1枚 3s4枚 9s1枚
7,1112233447,1s1枚 2s2枚 3s2枚 4s2枚
7,1112333346,2s3枚 9s4枚
7,1112333347,1s1枚 2s3枚 4s3枚
7,1112344447,1s1枚 2s3枚 3s3枚
7,1112344566,2s3枚 9s4枚
7,1112346999,2s3枚 3s3枚 9s1枚
7,1113334447,1s1枚 2s4枚 3s1枚 4s1枚
7,1113334678,1s1枚 7s3枚 8s3枚
7,1113336999,1s1枚 2s4枚 3s1枚 9s1枚
7,1113345567,7s3枚 9s4枚
7,1113445678,1s1枚 7s3枚 8s3枚
7,1113455557,1s1枚 3s3枚 4s3枚
7,1113455789,1s1枚 8s3枚 9s3枚
7,1113456667,1s1枚 3s3枚 4s3枚
7,1113456778,1s1枚 3s3枚 4s3枚
7,1113456788,1s1枚 3s3枚 4s3枚
7,1113457777,1s1枚 3s3枚 4s3枚
7,1113457789,1s1枚 3s3枚 4s3枚
7,1113457888,1s1枚 3s3枚 4s3枚
7,1113457999,1s1枚 3s3枚 4s3枚
7,1113566667,7s3枚 9s4枚
7,1113567777,6s3枚 9s4枚
7,1113567999,6s3枚 7s3枚 9s1枚
7,1114444678,1s1枚 7s3枚 8s3枚
7,1114456789,1s1枚 8s3枚 9s3枚
7,1114555678,1s1枚 7s3枚 8s3枚
7,1114666678,1s1枚 7s3枚 8s3枚
7,1114678999,1s1枚 7s3枚 8s3枚
7,1114777789,1s1枚 8s3枚 9s3枚
7,1114777888,1s1枚 7s1枚 8s1枚 9s4枚
7,1114777999,1s1枚 7s1枚 8s4枚 9s1枚
7,1114778899,1s1枚 7s2枚 8s2枚 9s2枚
7,1114788889,1s1枚 7s3枚 9s3枚
7,1114789999,1s1枚 7s3枚 8s3枚
7,1114888999,1s1枚 7s4枚 8s1枚 9s1枚
7,1115888999,1s1枚 2s4枚 8s1枚 9s1枚
7,1122233347,1s2枚 2s1枚 3s1枚 4s3枚
7,1122334447,1s2枚 2s2枚 3s2枚 4s1枚
7,1122336999,1s2枚 2s2枚 3s2枚 9s1枚
7,1222233336,1s3枚 9s4枚
7,1222233337,1s3枚 4s4枚
7,1222234447,1s3枚 3s3枚 4s1枚
7,1222234566,1s3枚 9s4枚
7,1222235567,1s3枚 9s4枚
7,1222236999,1s3枚 3s3枚 9s1枚
7,1222333447,1s3枚 2s1枚 3s1枚 4s2枚
7,1223344447,1s3枚 2s2枚 3s2枚
7,1233334447,1s3枚 2s3枚 4s1枚
7,1233336999,1s3枚 2s3枚 9s1枚
7,1233345567,7s3枚 9s4枚
7,1233455567,1s3枚 9s4枚
7,1233566667,7s3枚 9s4枚
7,1233567777,6s3枚 9s4枚
7,1233567999,6s3枚 7s3枚 9s1枚
7,1234566999,1s3枚 2s3枚 9s1枚
7,1235567999,1s3枚 2s3枚 9s1枚
7,2222333347,1s4枚 4s3枚
7,2222344446,3s3枚 9s4枚
7,2222344447,1s4枚 3s3枚
7,2222345556,3s3枚 9s4枚
7,2222345667,3s3枚 9s4枚
7,2222346666,3s3枚 9s4枚
7,2222346777,3s3枚 9s4枚
7,2222346888,3s3枚 9s4枚
7,2223333457,1s4枚 4s3枚
7,2223334447,1s4枚 2s1枚 3s1枚 4s1枚
7,2223336999,1s4枚 2s1枚 3s1枚 9s1枚
7,2223345567,7s3枚 9s4枚
7,2223444457,1s4枚 3s3枚
7,2223455677,1s4枚 3s3枚
7,2223566667,7s3枚 9s4枚
7,2223567777,6s3枚 9s4枚
7,2223567999,6s3枚 7s3枚 9s1枚
7,2224456678,1s4枚 8s3枚
7,2224677778,1s4枚 8s3枚
7,2224678888,1s4枚 7s3枚
7,2225888999,1s4枚 2s1枚 8s1枚 9s1枚
7,2234566667,7s3枚 9s4枚
7,2234567777,6s3枚 9s4枚
7,2234567999,6s3枚 7s3枚 9s1枚
7,2333344446,2s3枚 9s4枚
7,2333344447,1s4枚 2s3枚
7,2333344566,2s3枚 9s4枚
7,2333345556,2s3枚 9s4枚
7,2333345667,2s3枚 9s4枚
7,2333346666,2s3枚 9s4枚
7,2333346777,2s3枚 9s4枚
7,2333346888,2s3枚 9s4枚
7,2333445567,7s3枚 9s4枚
7,2334566667,7s3枚 9s4枚
7,2334567777,6s3枚 9s4枚
7,2334567999,6s3枚 7s3枚 9s1枚
7,2344445556,2s3枚 9s4枚
7,2344446999,2s3枚 3s3枚 9s1枚
7,2344455666,2s3枚 9s4枚
7,2344555566,2s3枚 9s4枚
7,2344556667,2s3枚 9s4枚
7,2344566777,2s3枚 9s4枚
7,2344566888,2s3枚 9s4枚
7,2345556999,2s3枚 3s3枚 9s1枚
7,2345667999,2s3枚 3s3枚 9s1枚
7,2346666999,2s3枚 3s3枚 9s1枚
7,2346777999,2s3枚 3s3枚 9s1枚
7,2346888999,2s3枚 3s3枚 9s1枚
7,3333455557,1s4枚 4s3枚
7,3333456667,1s4枚 4s3枚
7,3333456778,1s4枚 4s3枚
7,3333456788,1s4枚 4s3枚
7,3333457777,1s4枚 4s3枚
7,3333457789,1s4枚 4s3枚
7,3333457888,1s4枚 4s3枚
7,3333457999,1s4枚 4s3枚
7,3333566667,7s3枚 9s4枚
7,3333567777,6s3枚 9s4枚
7,3333567999,6s3枚 7s3枚 9s1枚
7,3334455567,7s3枚 9s4枚
7,3334456678,1s4枚 8s3枚
7,3334677778,1s4枚 8s3枚
7,3334678888,1s4枚 7s3枚
7,3344445567,7s3枚 9s4枚
7,3345566667,7s3枚 9s4枚
7,3345567888,7s3枚 9s4枚
7,3444455557,1s4枚 3s3枚
7,3444455677,1s4枚 3s3枚
7,3444456667,1s4枚 3s3枚
7,3444456778,1s4枚 3s3枚
7,3444456788,1s4枚 3s3枚
7,3444457777,1s4枚 3s3枚
7,3444457789,1s4枚 3s3枚
7,3444457888,1s4枚 3s3枚
7,3444457999,1s4枚 3s3枚
7,3444555567,7s3枚 9s4枚
7,3444556678,1s4枚 8s3枚
7,3444566667,7s3枚 9s4枚
7,3444567777,6s3枚 9s4枚
7,3444567999,6s3枚 7s3枚 9s1枚
7,3445677778,1s4枚 8s3枚
7,3445678888,1s4枚 7s3枚
7,3455556667,1s4枚 3s3枚
7,3455566777,1s4枚 3s3枚
7,3455567789,1s4枚 9s3枚
7,3455666677,1s4枚 3s3枚
7,3455667778,1s4枚 3s3枚
7,3455677789,1s4枚 3s3枚
7,3455677888,1s4枚 3s3枚
7,3455677999,1s4枚 3s3枚
7,3455788889,1s4枚 9s3枚
7,3455789999,1s4枚 8s3枚
7,3555566667,7s3枚 9s4枚
7,3555567777,6s3枚 9s4枚
7,3555567999,6s3枚 7s3枚 9s1枚
7,3566667888,7s3枚 9s4枚
7,3567777888,6s3枚 9s4枚
7,3567888999,6s3枚 7s3枚 9s1枚
7,3666677778,8s3枚 9s4枚
7,3666677889,7s2枚 8s2枚 9s3枚
7,3666678888,7s3枚 9s4枚
7,3666678999,7s3枚 8s3枚 9s1枚
7,3666777789,6s1枚 8s3枚 9s3枚
7,3666777888,6s1枚 7s1枚 8s1枚 9s4枚
7,3666777999,6s1枚 7s1枚 8s4枚 9s1枚
7,3666778899,6s1枚 7s2枚 8s2枚 9s2枚
7,3666788889,6s1枚 7s3枚 9s3枚
7,3666789999,6s1枚 7s3枚 8s3枚
7,3666888999,6s1枚 7s4枚 8s1枚 9s1枚
7,3667778889,6s2枚 7s1枚 8s1枚 9s3枚
7,3667788999,6s2枚 7s2枚 8s2枚 9s1枚
7,3677778888,6s3枚 9s4枚
7,3677778999,6s3枚 8s3枚 9s1枚
